Experiment Time,Train Time,Iteration,Dataset Name,Model Name,mAP@0.5,mAP@0.5:0.95,Mean Precision,Mean Recall,mAP@0.75,Class_0/Precision,Class_0/Recall,Class_0/mAP@0.5,Class_0/mAP@0.5:0.95,Speed/preprocess (ms),Speed/inference (ms),Speed/loss (ms),Speed/postprocess (ms),Epochs,Batch Size,Device,Optimizer,LR,Weight Decay,Momentum,Image Size,Output Dir,LRF,Cos LR,hsv_h,hsv_s,hsv_v,degrees,translate,scale,flipud,fliplr,mosaic,mixup,copy_paste,box,cls,dfl,Data Config,Number of Classes,Class Names,PT path,Train-Test Time
250418_002628,250418_002629,1,airplane,yolov8n,0.7093,0.3725,0.7339,0.665,0.3641,0.734,0.665,0.709,0.373,0.4,1.1,0.0,1.4,20,16,cuda:0,AdamW,0.01,0.0001,0.937,640,output/250418_002628,0.01,False,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,5.0,0.7,1.0,../Datasets/airplane/data_iter_01.yaml,1,['airplane'],output/250418_002628/train/250418_002629_yolov8n_airplane_Iter_1/weights/best.pt,150.50171000799998
250418_002628,250418_002900,1,airplane,yolov9t,0.652,0.3424,0.6774,0.6405,0.3149,0.677,0.64,0.652,0.342,0.4,1.8,0.0,1.0,20,16,cuda:0,AdamW,0.01,0.0001,0.937,640,output/250418_002628,0.01,False,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,5.0,0.7,1.0,../Datasets/airplane/data_iter_01.yaml,1,['airplane'],output/250418_002628/train/250418_002900_yolov9t_airplane_Iter_1/weights/best.pt,274.78640756000004
250418_002628,250418_003335,1,airplane,yolov10n,0.5259,0.2644,0.5643,0.575,0.2513,0.564,0.575,0.526,0.264,0.4,1.4,0.0,0.2,20,16,cuda:0,AdamW,0.01,0.0001,0.937,640,output/250418_002628,0.01,False,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,5.0,0.7,1.0,../Datasets/airplane/data_iter_01.yaml,1,['airplane'],output/250418_002628/train/250418_003335_yolov10n_airplane_Iter_1/weights/best.pt,229.523325302
250418_002628,250418_003725,1,airplane,yolo11n,0.6871,0.3304,0.7082,0.635,0.2776,0.708,0.635,0.687,0.33,0.4,1.0,0.0,1.0,20,16,cuda:0,AdamW,0.01,0.0001,0.937,640,output/250418_002628,0.01,False,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,5.0,0.7,1.0,../Datasets/airplane/data_iter_01.yaml,1,['airplane'],output/250418_002628/train/250418_003725_yolo11n_airplane_Iter_1/weights/best.pt,228.974076731
250418_002628,250418_004114,1,airplane,yolo12n,0.6107,0.3016,0.6377,0.57,0.2471,0.638,0.57,0.611,0.302,0.3,1.1,0.0,1.2,20,16,cuda:0,AdamW,0.01,0.0001,0.937,640,output/250418_002628,0.01,False,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,5.0,0.7,1.0,../Datasets/airplane/data_iter_01.yaml,1,['airplane'],output/250418_002628/train/250418_004114_yolo12n_airplane_Iter_1/weights/best.pt,208.167370015
250418_002628,250418_004442,2,airplane,yolov8n,0.789,0.3866,0.7726,0.7227,0.3276,0.773,0.723,0.789,0.387,0.4,0.8,0.0,0.9,20,16,cuda:0,AdamW,0.01,0.0001,0.937,640,output/250418_002628,0.01,False,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,5.0,0.7,1.0,../Datasets/airplane/data_iter_02.yaml,1,['airplane'],output/250418_002628/train/250418_004442_yolov8n_airplane_Iter_2/weights/best.pt,177.7044171959999
250418_002628,250418_004740,2,airplane,yolov9t,0.7728,0.3961,0.7234,0.7533,0.3413,0.723,0.753,0.773,0.396,0.3,1.5,0.0,0.9,20,16,cuda:0,AdamW,0.01,0.0001,0.937,640,output/250418_002628,0.01,False,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,5.0,0.7,1.0,../Datasets/airplane/data_iter_02.yaml,1,['airplane'],output/250418_002628/train/250418_004740_yolov9t_airplane_Iter_2/weights/best.pt,303.90316831799987
250418_002628,250418_005244,2,airplane,yolov10n,0.6844,0.3905,0.6395,0.667,0.4004,0.639,0.667,0.684,0.391,0.4,1.2,0.0,0.1,20,16,cuda:0,AdamW,0.01,0.0001,0.937,640,output/250418_002628,0.01,False,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,5.0,0.7,1.0,../Datasets/airplane/data_iter_02.yaml,1,['airplane'],output/250418_002628/train/250418_005244_yolov10n_airplane_Iter_2/weights/best.pt,246.169166253
250418_002628,250418_005651,2,airplane,yolo11n,0.7708,0.394,0.7877,0.6924,0.3519,0.788,0.692,0.771,0.394,0.4,1.5,0.0,2.4,20,16,cuda:0,AdamW,0.01,0.0001,0.937,640,output/250418_002628,0.01,False,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,5.0,0.7,1.0,../Datasets/airplane/data_iter_02.yaml,1,['airplane'],output/250418_002628/train/250418_005651_yolo11n_airplane_Iter_2/weights/best.pt,194.36425695699995
250418_002628,250418_010005,2,airplane,yolo12n,0.6405,0.2996,0.6653,0.6201,0.2266,0.665,0.62,0.64,0.3,0.4,1.1,0.0,1.0,20,16,cuda:0,AdamW,0.01,0.0001,0.937,640,output/250418_002628,0.01,False,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,5.0,0.7,1.0,../Datasets/airplane/data_iter_02.yaml,1,['airplane'],output/250418_002628/train/250418_010005_yolo12n_airplane_Iter_2/weights/best.pt,201.0193685700001
