,mAP@0.5,mAP@0.5:0.95,Mean Precision,Mean Recall
yolov8n,0.712 ± 0.041 ,0.360 ± 0.023 ,0.720 ± 0.035 ,0.651 ± 0.040 
yolov9t,0.717 ± 0.051 ,0.382 ± 0.043 △,0.735 ± 0.042 ,0.669 ± 0.049 △
yolov10n,0.588 ± 0.059 ▼▼▼▼,0.312 ± 0.037 ▼▼▼▼,0.569 ± 0.048 ▼▼▼▼,0.600 ± 0.033 ▼▼▼▼
yolo11n,0.700 ± 0.034 ,0.338 ± 0.023 ▼▼▼,0.706 ± 0.031 ,0.659 ± 0.037 
yolo12n,0.644 ± 0.039 ▼▼▼▼,0.305 ± 0.029 ▼▼▼▼,0.664 ± 0.022 ▼▼▼▼,0.622 ± 0.036 ▼
yolov8n_param,0.700 ± 0.041 ▼▼▼,0.360 ± 0.028 ,0.697 ± 0.044 ▼▼,0.667 ± 0.043 
yolov9t_param,0.695 ± 0.050 ▼,0.376 ± 0.032 △△,0.698 ± 0.045 ,0.657 ± 0.039 
yolov10n_param,0.535 ± 0.033 ▼▼▼▼,0.271 ± 0.016 ▼▼▼▼,0.547 ± 0.033 ▼▼▼▼,0.538 ± 0.025 ▼▼▼▼
yolo11n_param,0.721 ± 0.034 ,0.378 ± 0.029 △△,0.724 ± 0.019 ,0.662 ± 0.027 
yolo12n_param,0.668 ± 0.046 ▼▼▼▼,0.326 ± 0.032 ▼▼▼▼,0.694 ± 0.040 ▼,0.640 ± 0.040 
